COD_INT;MARCA;ARTICOLO;DIAM;PESO;FAMIGLIA;FORMATO;DESCRIZIONE;CLASSIFICAZIONE_CPR
371962;CAV;FG16M16 1X 10 BO;8,4;145;FG16M16;BOBINA;;
371967;CAV;FG16M16 1X 16 BO;9,3;200;FG16M16;BOBINA;;
372170;CAV;FG16M16 1X 25 BO;11,0;295;FG16M16;BOBINA;;
372172;CAV;FG16M16 1X 35 BO;12,1;390;FG16M16;BOBINA;;
372174;CAV;FG16M16 1X 50 BO;13,9;525;FG16M16;BOBINA;;
372176;CAV;FG16M16 1X 70 BO;15,4;720;FG16M16;BOBINA;;
372177;CAV;FG16M16 1X 95 BO;17,3;940;FG16M16;BOBINA;;
372179;CAV;FG16M16 1X120 BO;18,9;1165;FG16M16;BOBINA;;
372181;CAV;FG16M16 1X150 BO;21,2;1470;FG16M16;BOBINA;;
372183;CAV;FG16M16 1X185 BO;24,4;1890;FG16M16;BOBINA;;
370702;CAV;FG16M16 1X240 BO;27,5;2310;FG16M16;BOBINA;;
372187;CAV;FG16OM16  2X 1,5 BO;10,2;160;FG16OM16;BOBINA;;
372190;CAV;FG16OM16  2X 1,5 MA;10,2;160;FG16OM16;MATASSA;;
372192;CAV;FG16OM16  2X 2,5 BO;11,2;198;FG16OM16;BOBINA;;
372195;CAV;FG16OM16  2X 2,5 MA;11,2;198;FG16OM16;MATASSA;;
372197;CAV;FG16OM16  2X 4   BO;12,3;260;FG16OM16;BOBINA;;
371968;CAV;FG16OM16  2X 6   BO;13,3;320;FG16OM16;BOBINA;;
372200;CAV;FG16OM16  2X10   BO;15,5;435;FG16OM16;BOBINA;;
372203;CAV;FG16OM16  2X16   BO;17,3;585;FG16OM16;BOBINA;;
372216;CAV;FG16OM16  3G 1,5 BO;10,7;186;FG16OM16;BOBINA;;
372218;CAV;FG16OM16  3G 1,5 MA;10,7;186;FG16OM16;MATASSA;;
372219;CAV;FG16OM16  3G 2,5 BO;11,8;235;FG16OM16;BOBINA;;
372220;CAV;FG16OM16  3G 2,5 MA;11,8;235;FG16OM16;MATASSA;;
372221;CAV;FG16OM16  3G 4   BO;12,9;295;FG16OM16;BOBINA;;
372222;CAV;FG16OM16  3G 4   MA;12,9;295;FG16OM16;MATASSA;;
372223;CAV;FG16OM16  3G 6    BO;14,0;370;FG16OM16;BOBINA;;
372224;CAV;FG16OM16  3G10   BO;16,4;520;FG16OM16;BOBINA;;
372225;CAV;FG16OM16  3G16   BO;18,3;715;FG16OM16;BOBINA;;
372298;CAV;FG16OM16  3X 1,5 BO;10,7;186;FG16OM16;BOBINA;;
372340;CAV;FG16OM16  4G 1,5 BO;11,4;210;FG16OM16;BOBINA;;
372343;CAV;FG16OM16  4G 1,5 MA;11,4;210;FG16OM16;MATASSA;;
372345;CAV;FG16OM16  4G 2,5 BO;12,6;270;FG16OM16;BOBINA;;
372347;CAV;FG16OM16  4G 2,5 MA;12,6;270;FG16OM16;MATASSA;;
372349;CAV;FG16OM16  4G 4   BO;13,9;350;FG16OM16;BOBINA;;
372350;CAV;FG16OM16  4G 6   BO;15,1;445;FG16OM16;BOBINA;;
372353;CAV;FG16OM16  4G10   BO;17,7;625;FG16OM16;BOBINA;;
372354;CAV;FG16OM16  4G16   BO;19,9;870;FG16OM16;BOBINA;;
372360;CAV;FG16OM16  4X 1,5 BO;11,4;210;FG16OM16;BOBINA;;
372363;CAV;FG16OM16  4X 2,5 BO;12,6;270;FG16OM16;BOBINA;;
372365;CAV;FG16OM16  4X 4   BO;13,9;350;FG16OM16;BOBINA;;
372386;CAV;FG16OM16  4X 6   BO;15,1;445;FG16OM16;BOBINA;;
372387;CAV;FG16OM16  4X10   BO;17,7;625;FG16OM16;BOBINA;;
372390;CAV;FG16OM16  4X16   BO;19,9;870;FG16OM16;BOBINA;;
372393;CAV;FG16OM16  4X25   BO;24,1;1300;FG16OM16;BOBINA;;
372401;CAV;FG16OM16  5G 1,5 BO;12,3;245;FG16OM16;BOBINA;;
415707;CAV;FG16OM16  5G 1,5 MA;12,3;245;FG16OM16;MATASSA;;
372403;CAV;FG16OM16  5G 2,5 BO;13,6;320;FG16OM16;BOBINA;;
415711;CAV;FG16OM16  5G 2,5 MA;13,6;320;FG16OM16;MATASSA;;
372405;CAV;FG16OM16  5G 4    BO;15,1;415;FG16OM16;BOBINA;;
372436;CAV;FG16OM16  5G 6    BO;16,4;525;FG16OM16;BOBINA;;
372439;CAV;FG16OM16  5G10   BO;19,3;750;FG16OM16;BOBINA;;
372441;CAV;FG16OM16  5G16   BO;21,9;1060;FG16OM16;BOBINA;;
372445;CAV;FG16OM16  5G25   BO;26,5;1590;FG16OM16;BOBINA;;
